cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Pyrausta aurata,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Charanyca trigrammica,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tyta luctuosa,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Orgyia antiqua,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Pechipogo strigilata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mesapamea secalis,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Meganola albula,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Evergestis aenealis,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Drymonia querna,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aethalura punctulata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea fuscovenosa,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phalera bucephala,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Delplanqueia dilutella,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Xanthorhoe ferrugata,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Hemistola chrysoprasaria,Larval feeding on lianas,larvae exclusively feed on these lianas.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stemmatophora brunnealis,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Arenostola phragmitidis,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Orthonama vittata,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xestia baja,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trisateles emortualis,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Allophyes oxyacanthae,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trichiura crataegi,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pechipogo strigilata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xanthorhoe biriviata,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Oncocera semirubella,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Macaria liturata,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Clostera curtula,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia absinthiata,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mesoleuca albicillata,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Macdunnoughia confusa,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Macrochilo cribrumalis,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Delplanqueia dilutella,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Deltote bankiana,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Idaea aversata,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Cabera exanthemata,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Litoligia literosa,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Plagodis pulveraria,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chilo phragmitella,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eudonia lacustrata,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Arctia villica,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Clostera anastomosis,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Clostera curtula,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Biston betularia,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euchoeca nebulata,Pupation Site,"pupation site distinctly above ground, in higher vegetation",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ligdia adustata,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xanthorhoe spadicearia,Larval feeding on broadleaved trees and shrubs,host range includes broadleaved trees and shrubs,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euplagia quadripunctaria,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula rubiginata,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Diacrisia sannio,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ennomos fuscantaria,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sideridis rivularis,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ecliptopera silaceata,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eudonia truncicolella,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Electrophaes corylata,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia haworthiata,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Enargia paleacea,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ostrinia nubilalis,Larval Feeding on grasses,larvae exclusively known to feed on graminoid plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Arctia villica,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula floslactata,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Elaphria venustula,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thyatira batis,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Agrotis ipsilon,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Cyclophora linearia,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Clostera anastomosis,Proboscis development,proboscis reduced and non-functional; ,proboscis reduced an non-functional,,,moderate,predicted a different value for this trait
"species present, trait missing",Plagodis pulveraria,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pelosia muscerda,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Eudonia mercurella,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Clostera anastomosis,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thaumetopoea processionea,Larval socialization,"larvae are highly social, in communal webs.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Colocasia coryli,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scoparia basistrigalis,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ostrinia nubilalis,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Diacrisia sannio,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cybosia mesomella,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Habrosyne pyritoides,Pupation Site,"pupation site distinctly above ground, in higher vegetation",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eudonia lacustrata,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Campaea margaritaria,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sciota fumella,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pelosia muscerda,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydriomena impluviata,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hemithea aestivaria,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Catocala nupta,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stegania cararia,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula rubiginata,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ennomos autumnaria,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Evergestis pallidata,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nephopterix angustella,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leucania obsoleta,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Xanthia aurago,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Herminia tarsicrinalis,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Laothoe populi,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Elaphria venustula,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hadena bicruris,Larva Feeding Place,"larvae are internal feeders inside plant organs such as stems, fruits, or roots.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phycitodes binaevella,Larva Feeding Place,"larvae are internal feeders inside plant organs such as stems, fruits, or roots.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrotis segetum,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mesapamea secalella,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sciota fumella,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ectropis crepuscularia,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydriomena impluviata,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Epione repandaria,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Eupithecia selinata,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Erannis defoliaria,Hibernation in egg stage recorded,Yes,hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Scopula virgulata,Larval Feeding on grasses,"larval host range includes graminoid plants, but moth species is not specific to that resource",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leucoma salicis,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrausta purpuralis,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tethea or,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sciota rhenella,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lomaspilis marginata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrochola litura,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Cerura erminea,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Deilephila porcellus,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Scopula flaccidaria,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Selenia tetralunaria,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Miltochrista miniata,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gymnancyla hornigii,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula virgulata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lithophane hepatica,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acronicta psi,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Selenia tetralunaria,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Herminia tarsipennalis,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cosmia affinis,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Clostera curtula,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rhodostrophia vibicaria,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aethalura punctulata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Hoplodrina blanda,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Scopula flaccidaria,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Evergestis forficalis,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydrelia flammeolaria,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phragmataecia castaneae,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cryphia algae,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Spatalia argentina,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Arctia villica,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cosmia affinis,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Lacanobia oleracea,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Heliomata glarearia,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acrobasis suavella,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Amphipyra tragopoginis,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Perizoma lugdunaria,Number of host plant families recorded in evaluated sources. ,1 genus,0.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Noctua comes,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Noctua janthe,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acrobasis sodalella,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cryphia algae,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Catarhoe cuculata,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ostrinia nubilalis,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agriphila straminella,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Scopula ornata,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Phragmataecia castaneae,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Artiora evonymaria,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apterogonum ypsillon,Larval Feeding on softwood trees,larvae exclusively feed on softwood trees in nature.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apamea crenata,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Noctua interposita,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Therapis flavicaria,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Scopula immutata,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eudonia laetella,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Noctua comes,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acrobasis advenella,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apamea scolopacina,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Actinotia polyodon,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anorthoa munda,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agriphila straminella,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hypena proboscidalis,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cosmia pyralina,Larva Feeding Place,"larva construct closed shelters (from leaf rolls, leaves spun together or alike; viz. they are ‘semi-concealed’); or they are boring into plant tissues, but only for a fraction of their development",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea dimidiata,Larval feeding on broadleaved trees and shrubs,host range includes broadleaved trees and shrubs,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thetidia smaragdaria,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Colocasia coryli,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lygephila pastinum,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Poecilocampa populi,Pupation Site,"pupation site distinctly above ground, in higher vegetation",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eudonia truncicolella,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gandaritis pyraliata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acrobasis advenella,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Abraxas grossulariata,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eucarta virgo,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dysstroma truncata,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anorthoa munda,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anania coronata,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Conistra erythrocephala,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Plemyria rubiginata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pterapherapteryx sexalata,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eudonia laetella,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthosia cruda,Adult feeding,adult moths known to regularly visit rotting fruits an related non-floral nutrient sources.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agriphila tolli,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gymnoscelis rufifasciata,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polypogon tentacularia,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Evergestis extimalis,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pseudeustrotia candidula,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anania crocealis,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Peribatodes rhomboidaria,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Plemyria rubiginata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Abraxas grossulariata,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Noctua fimbriata,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xanthorhoe designata,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hypomecis roboraria,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia inturbata,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lygephila pastinum,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
